index,lon,lat,age,plate_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
68,-122.64,40.7,147,101,-68.51,35.62,0.04,434.0,-71.12,36.17,2.69,1.28,4.22,-115.73,0.2,104.28,902.0,101.0,7.22,17.27,2.69,0.06,-1.83,-3.8,-3.83,-77.13,0.85,-3.74,84.12,0.05,12.86,156.68,2.67
69,-122.64,40.7,136,101,-69.27,38.38,0.05,192.0,-72.66,38.3,7.55,-28.67,3.04,-165.28,0.19,87.45,902.0,101.0,25.2,28.36,6.62,-3.62,-2.94,-0.77,-5.74,-49.88,3.7,-4.39,101.27,0.13,10.7,172.71,2.73
70,-122.78,50.76,70,101,-101.63,58.88,0.05,309.0,-106.02,57.44,18.67,-29.22,3.47,-143.82,0.19,49.23,918.0,101.0,16.63,41.58,16.29,-9.11,-2.8,-2.05,-17.51,-39.65,13.48,-11.17,9.46,0.11,29.38,1393.07,1.76
71,-123.45,51.08,85,101,-92.97,58.7,0.05,313.0,-97.12,57.27,13.72,1.61,4.85,-119.82,0.19,55.0,902.0,101.0,16.44,54.17,13.71,0.38,-2.41,-4.21,-11.92,-18.72,11.29,-3.82,71.62,0.25,37.21,931.37,2.57
72,-123.46,52.4,140,101,-60.44,48.56,0.09,289.0,-68.25,48.67,1.76,14.0,-4.53,-76.02,0.19,89.68,902.0,16111.0,4.07,4.07,1.71,0.43,1.1,-4.4,-4.86,-54.85,2.8,-3.98,79.25,0.03,7.5,169.33,2.65
73,-123.62,51.45,79,101,-96.96,59.6,0.05,290.0,-101.42,57.99,11.75,-1.61,3.52,-141.06,0.19,52.04,918.0,101.0,16.05,42.16,11.74,-0.33,-2.74,-2.21,-9.38,-15.94,9.02,-2.58,70.27,0.21,19.16,1374.08,2.59
74,-124.54,55.26,181,101,-55.71,45.9,0.05,640.0,-59.82,45.06,8.73,48.64,9.13,-176.78,0.18,252.3,101.0,16111.0,1.17,16.94,5.77,6.55,-9.12,-0.51,6.89,119.06,-3.35,6.02,46.84,0.08,1.57,162.52,2.48
75,-125.3,55.5,121,101,-68.38,54.58,0.09,387.0,-76.64,53.32,19.45,24.72,4.77,-131.95,0.19,71.86,902.0,101.0,10.53,46.25,17.67,8.13,-3.19,-3.55,-15.19,17.56,14.48,4.58,88.85,0.35,20.07,160.27,2.68
76,-126.16,54.95,51,101,-112.71,60.7,0.07,214.0,-119.28,58.01,25.34,-56.26,2.62,149.87,0.19,49.07,918.0,101.0,11.02,46.23,14.07,-21.07,-2.27,1.31,-22.99,-59.13,11.8,-19.74,0.45,0.02,10.46,290.73,0.89
77,-126.17,55.25,50,101,-112.86,60.77,0.08,211.0,-119.87,58.06,7.31,-13.66,2.6,150.2,0.15,48.19,903.0,101.0,10.66,46.59,7.1,-1.73,-2.26,1.29,-4.87,-5.03,4.85,-0.43,0.73,0.01,23.73,284.09,1.03
78,-126.32,55.19,50,101,-113.05,60.72,0.08,211.0,-119.87,58.06,7.31,-13.66,2.6,150.2,0.15,48.19,903.0,101.0,10.66,46.59,7.1,-1.73,-2.26,1.29,-4.87,-5.03,4.85,-0.43,0.73,0.01,23.73,284.09,1.03
79,-126.33,54.75,78,101,-99.61,63.17,0.07,219.0,-107.12,61.07,12.32,-9.93,3.44,-148.25,0.19,55.13,918.0,101.0,11.97,46.24,12.14,-2.13,-2.93,-1.81,-10.04,-23.29,9.22,-3.97,65.05,0.21,20.34,1394.37,2.53
80,-126.76,57.06,202,101,-54.32,37.03,0.06,988.0,-58.77,36.77,8.33,41.53,4.82,-111.53,0.2,85.7,131.0,101.0,6.73,6.73,6.23,5.52,-1.77,-4.49,-4.56,13.36,4.44,1.05,46.75,0.1,0.0,172.77,2.49
81,-127.05,53.07,84,101,-97.12,61.35,0.05,224.0,-102.3,60.33,13.41,-13.28,4.8,-134.68,0.16,66.15,902.0,101.0,12.71,57.73,13.05,-3.08,-3.38,-3.41,-11.63,-33.91,9.65,-6.49,67.0,0.19,37.14,911.44,2.58
82,-127.17,53.68,82,101,-98.46,62.16,0.05,224.0,-103.92,60.64,12.28,-8.25,3.48,-147.22,0.19,57.41,918.0,101.0,12.53,45.68,12.15,-1.76,-2.93,-1.89,-9.94,-21.73,9.24,-3.68,65.75,0.21,25.44,1085.55,2.57
83,-127.23,53.53,86,101,-95.51,61.44,0.05,352.0,-100.85,60.16,13.33,-6.73,4.81,-126.54,0.19,59.58,902.0,101.0,12.53,45.68,13.24,-1.56,-2.87,-3.87,-11.69,-27.68,10.35,-5.43,66.85,0.23,33.44,996.51,2.57
84,-127.86,50.67,170,101,-62.74,44.58,0.02,451.0,-64.34,43.87,10.36,23.89,1.94,-104.86,0.18,57.38,902.0,16111.0,2.98,2.98,9.47,4.2,-0.5,-1.88,-9.27,14.46,8.97,2.31,62.6,0.15,2.6,163.97,2.57
85,-129.17,58.5,186,101,-57.77,46.98,0.1,389.0,-66.15,45.88,8.74,41.07,9.14,174.78,0.19,256.13,101.0,16111.0,10.25,14.86,6.59,5.74,-9.1,0.83,7.03,110.97,-2.51,6.56,91.66,0.13,1.46,214.82,1.98
86,-131.0,57.35,220,101,-53.09,31.58,0.03,1466.0,-55.27,31.69,5.85,19.54,-2.29,-87.56,0.2,93.69,131.0,101.0,8.33,8.33,5.51,1.96,0.1,-2.29,-5.63,-3.44,5.62,-0.34,35.69,0.08,0.0,165.32,2.51
87,-131.09,56.67,195,101,-59.19,41.15,0.02,830.0,-61.03,40.86,2.31,29.45,5.89,-112.52,0.2,82.28,131.0,101.0,7.73,7.73,2.01,1.13,-2.25,-5.44,4.29,-93.75,-0.28,-4.29,45.38,0.03,12.44,757.05,2.47
88,-131.13,56.67,195,101,-59.22,41.16,0.02,827.0,-61.07,41.06,2.28,29.77,5.89,-112.61,0.2,82.26,131.0,101.0,7.93,7.93,1.98,1.13,-2.26,-5.44,4.3,-94.23,-0.32,-4.29,45.38,0.03,12.44,757.05,2.47
89,-131.34,57.12,212,101,-54.78,34.43,0.03,1381.0,-56.68,34.5,6.55,23.2,4.24,-115.01,0.2,90.35,131.0,101.0,8.33,8.33,6.02,2.58,-1.79,-3.84,-4.42,-16.49,4.24,-1.26,32.89,0.08,0.0,167.17,2.37
