subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
-80.3,159.19,-93.17,15.34,3.57,13.87,3.99,1307.62,1
-86.65,173.66,-101.2,18.76,4.69,18.55,3.02,199.92,1
27.25,-120.26,-1.21,8.45,4.64,-5.16,44.86,168.52,1
8.69,-122.5,-89.36,3.18,5.72,-4.32,46.81,165.4,1
8.69,-123.33,-90.26,3.18,5.72,4.27,49.06,160.91,1
-6.86,-149.73,-25.02,13.71,5.18,-10.08,56.15,129.42,1
-10.32,173.21,-11.95,13.29,4.22,-9.08,54.18,134.23,1
-18.43,174.23,-20.87,9.38,1.48,-7.94,51.2,132.49,1
12.3,-123.77,-31.64,5.87,4.09,-4.09,35.98,168.49,1
12.35,-123.81,-31.75,5.85,4.08,-4.06,36.49,170.12,1
27.38,-121.68,-1.31,8.42,4.71,-4.98,47.92,171.75,1
23.2,-115.08,-16.49,6.55,4.24,-4.42,30.92,167.51,1
41.77,-112.61,13.8,8.29,4.86,-4.41,60.68,167.21,1
41.74,-112.63,13.81,8.29,4.86,-4.42,43.58,172.12,1
30.1,-112.7,-94.71,2.26,5.89,4.3,45.38,757.05,1
12.75,-130.16,2.64,16.96,4.06,-13.94,88.47,82.92,1
34.28,-118.19,20.87,16.92,5.96,-11.97,94.43,96.88,1
31.8,-131.14,21.66,16.08,6.11,-10.41,90.1,99.24,1
31.68,-131.47,21.87,16.1,6.03,-10.48,84.57,107.03,1
12.76,-130.11,2.64,16.94,4.06,-13.93,91.25,82.92,1
34.28,-118.19,20.87,16.92,5.96,-11.97,94.43,96.88,1
31.8,-131.14,21.66,16.08,6.11,-10.41,90.1,99.24,1
31.68,-131.47,21.87,16.1,6.03,-10.48,84.57,107.03,1
-1.98,-145.04,-12.04,17.04,4.08,-14.01,85.89,87.95,1
19.49,-132.84,6.1,16.97,5.96,-12.03,95.37,96.88,1
17.09,-145.54,6.89,16.09,6.07,-10.46,88.69,99.24,1
16.98,-145.84,7.1,16.1,5.99,-10.53,83.08,107.03,1
48.79,-176.78,119.06,8.74,9.13,6.92,45.64,162.34,1
-2.36,-130.44,-11.84,10.34,1.94,-9.27,53.74,6407.19,1
-2.5,-130.68,-11.96,10.34,1.93,-9.26,66.85,7145.63,1
-37.27,105.18,-12.9,11.51,5.41,-7.94,83.58,8462.35,1
-22.06,145.28,-19.29,9.82,1.94,-7.94,94.32,162.38,1
-1.58,178.84,-1.78,13.13,4.22,-8.92,52.33,122.92,1
-11.76,-179.6,-14.14,9.57,1.53,-8.08,51.01,138.36,1
-5.15,153.75,1.5,12.71,3.18,-9.81,35.98,242.79,1
-16.56,-164.01,-26.17,9.84,2.46,-7.87,24.17,262.91,1
-15.98,-157.38,-27.33,9.44,2.43,-7.67,11.72,272.57,1
-5.31,-121.52,-30.92,11.33,4.9,-10.16,78.37,116.45,0
-15.41,-110.53,-64.87,3.64,3.91,-5.12,55.33,107.77,0
-16.69,133.65,0.99,12.33,5.13,-8.26,82.94,145.61,0
43.64,-123.35,34.96,15.86,6.37,-9.77,91.16,83.32,0
-113.51,-174.6,-139.25,-3.77,2.85,5.73,1.35,576.36,0
4.04,-117.35,-44.83,8.54,6.74,-7.67,66.18,206.88,0
-54.7,112.75,-48.21,10.54,3.75,-6.92,82.2,114.54,0
13.74,-118.51,-13.07,10.57,4.95,-8.1,81.3,97.01,0
19.53,-147.96,11.2,15.89,6.36,-9.79,90.33,76.82,0
13.68,-117.77,-13.29,10.56,4.95,-8.16,82.06,95.27,0
37.54,-84.4,3.04,9.27,-5.28,-7.9,59.32,220.67,0
-18.69,-161.25,-40.9,13.49,5.9,-9.49,86.62,106.82,0
26.32,-110.14,-4.81,9.93,5.29,-7.12,85.28,112.51,0
-16.68,133.59,0.99,12.34,5.12,-8.28,83.6,145.61,0
26.97,-110.4,-3.83,9.98,5.3,-7.07,84.41,106.03,0
-22.56,-153.44,-38.3,5.95,1.8,-4.96,93.45,67.86,0
24.11,-68.18,-37.92,2.52,-4.4,-4.98,92.66,62.84,0
53.3,-73.56,22.7,8.36,-4.31,-6.72,50.69,203.13,0
12.2,-115.96,1.7,9.4,1.93,-8.35,82.46,156.47,0
19.8,-147.41,11.15,15.82,6.4,-9.69,90.9,73.95,0
7.99,-113.42,-11.95,14.35,4.99,-12.49,75.49,106.78,0
6.19,-139.34,-6.27,11.0,3.23,-8.54,85.98,141.4,0
15.2,-111.72,-4.6,14.06,4.99,-11.75,82.48,110.85,0
-8.98,-134.98,-21.82,10.8,2.63,-9.51,95.43,61.49,0
24.32,-67.87,-37.9,2.49,-4.41,-4.98,92.63,62.84,0
3.68,-138.68,-8.2,16.92,4.58,-13.61,91.59,64.71,0
62.86,-73.91,-22.82,2.85,-3.68,-2.54,77.11,97.8,0
36.71,-83.82,0.06,8.8,-5.31,-7.65,49.1,142.72,0
-12.69,-146.92,-29.61,6.18,2.04,-4.98,94.82,173.83,0
-42.79,-159.88,-75.59,9.1,4.95,-8.12,73.35,156.76,0
26.96,-106.15,-4.16,9.85,5.17,-7.37,85.03,121.01,0
5.91,-139.03,-6.69,11.0,3.23,-8.57,87.11,123.84,0
31.85,-110.65,24.36,13.63,2.53,-11.73,91.92,57.25,0
7.67,-135.47,-4.7,11.12,3.12,-8.83,89.16,139.48,0
63.3,-170.66,159.02,2.32,4.59,3.72,82.12,92.95,0
36.99,-85.07,3.67,9.55,-5.27,-8.11,49.92,293.88,0
-21.86,126.24,-2.83,11.26,4.76,-7.64,87.45,354.89,0
54.17,-80.07,26.22,8.47,-4.16,-6.3,39.97,348.4,0
-4.99,-144.72,-29.31,12.31,5.6,-8.8,84.34,127.53,0
4.68,-132.21,-8.97,8.12,2.29,-6.61,41.78,224.75,0
8.68,-119.76,-1.13,10.07,1.95,-8.99,86.47,960.5,0
25.45,-102.26,-6.24,9.63,5.05,-7.67,87.75,252.31,0
3.52,-143.38,-7.6,13.55,3.73,-10.63,65.24,117.47,0
47.39,-68.36,0.2,8.78,-6.91,-8.51,61.96,293.51,0
49.53,-86.68,22.25,8.49,-4.14,-6.19,31.5,163.35,0
4.79,-123.03,-15.88,13.51,5.0,-11.15,79.89,114.29,0
-82.08,-76.0,-78.1,1.5,-2.99,-4.48,97.8,169.04,0
2.94,-118.14,-26.18,10.25,4.99,-8.77,82.85,117.04,0
30.21,-93.05,-37.93,4.67,5.27,-4.71,46.16,160.22,0
-82.08,-30.66,-52.77,1.5,-1.95,-3.11,68.22,170.52,0
14.87,-127.96,3.67,17.92,4.66,-14.5,95.64,96.23,0
13.26,-121.12,-17.2,9.56,5.0,-7.02,80.22,113.77,0
-43.98,-163.94,-64.57,13.67,4.86,-11.99,73.68,880.09,0
9.56,-147.67,2.47,11.0,2.78,-8.49,33.38,284.54,0
54.06,-81.34,26.52,8.48,-4.15,-6.24,32.59,220.81,0
-3.58,-70.13,-39.65,2.74,-3.17,-4.94,94.57,167.61,0
