subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
7.28,-104.52,-17.55,5.46,2.29,-5.08,38.35,156.18,0
7.28,-104.52,-17.55,5.46,2.29,-5.08,38.46,155.21,0
7.28,-104.51,-17.55,5.46,2.29,-5.08,38.57,154.06,0
7.28,-104.5,-17.55,5.46,2.29,-5.09,38.69,153.1,0
7.28,-104.5,-17.55,5.46,2.29,-5.09,38.81,152.27,0
7.28,-104.49,-17.55,5.46,2.29,-5.09,38.8,149.45,0
7.28,-104.49,-17.55,5.46,2.29,-5.09,38.9,149.2,0
7.28,-104.48,-17.55,5.46,2.29,-5.09,39.0,148.72,0
9.94,159.12,34.15,4.38,2.19,-2.73,2.11,4724.53,0
9.75,159.26,33.78,4.39,2.2,-2.73,1.89,5370.23,0
9.56,159.39,33.4,4.4,2.2,-2.73,1.64,5156.74,0
9.36,159.53,33.03,4.41,2.21,-2.72,3.34,5014.21,0
9.17,159.67,32.65,4.42,2.21,-2.72,3.1,1280.09,0
8.97,159.8,32.28,4.43,2.21,-2.72,2.88,583.4,0
-73.53,159.94,-105.45,4.19,2.22,3.39,2.58,1476.4,0
-73.31,160.07,-105.57,4.16,2.22,3.36,2.24,1468.88,0
8.38,160.22,31.15,4.46,2.23,-2.71,1.87,946.56,0
8.19,160.35,30.77,4.47,2.23,-2.7,4.16,1746.06,0
6.27,163.46,25.35,4.45,2.19,-2.58,4.26,1050.74,0
-9.61,169.53,-8.87,4.44,2.32,-2.12,4.77,955.86,0
-9.74,169.65,-9.27,4.45,2.33,-2.13,4.34,1042.36,0
-9.87,169.77,-9.67,4.46,2.33,-2.13,3.89,985.76,0
-10.0,169.9,-10.07,4.47,2.34,-2.13,3.44,975.77,0
-10.13,170.02,-10.48,4.48,2.34,-2.14,6.11,960.73,0
-10.26,170.15,-10.89,4.48,2.35,-2.14,5.59,942.67,0
-10.39,170.27,-11.31,4.49,2.35,-2.14,5.16,1096.44,0
-88.97,170.4,-125.6,3.54,2.35,3.89,5.78,1068.36,0
-34.24,147.02,-35.92,4.45,2.41,-2.04,11.44,1050.19,0
-30.11,163.67,-37.13,6.01,2.12,-3.98,13.39,1193.55,0
-30.23,166.17,-38.22,6.1,2.1,-4.12,13.31,1175.02,0
-30.65,166.27,-39.08,6.01,2.1,-4.04,14.06,1159.05,0
-31.07,166.37,-39.98,5.93,2.11,-3.95,13.95,1095.43,0
-31.5,166.47,-40.89,5.84,2.11,-3.87,15.64,1045.06,0
-25.22,166.66,-30.78,6.35,2.12,-4.28,15.74,964.95,0
-18.78,166.76,-20.81,7.21,2.13,-5.09,18.65,924.2,0
-15.26,169.82,-16.61,9.18,2.13,-7.05,20.37,814.73,0
25.82,-148.95,24.38,8.71,2.08,-6.64,17.75,578.34,0
25.3,-148.86,23.66,8.67,2.09,-6.59,17.75,549.88,0
11.45,-135.13,-3.74,6.44,2.27,-4.69,17.69,525.3,0
8.94,-133.71,-8.74,6.17,2.3,-4.53,18.13,505.38,0
8.51,-133.66,-9.62,6.11,2.31,-4.49,16.96,485.94,0
8.07,-133.6,-10.52,6.05,2.32,-4.45,16.12,458.13,0
7.61,-133.55,-11.45,6.0,2.32,-4.4,15.24,444.58,0
7.14,-133.49,-12.4,5.94,2.33,-4.36,15.29,427.9,0
6.65,-133.43,-13.36,5.88,2.34,-4.33,14.33,389.96,0
-15.37,-125.37,-37.01,4.67,1.71,-4.37,13.9,376.46,0
-19.91,-127.51,-42.11,4.52,1.7,-4.3,12.29,438.16,0
-20.6,-127.55,-43.11,4.46,1.71,-4.27,10.52,419.59,0
-21.43,-127.59,-43.85,4.49,1.71,-4.32,9.97,408.69,0
-22.57,-127.63,-43.77,4.75,1.72,-4.59,8.36,393.55,0
-23.37,-127.66,-44.82,4.69,1.72,-4.57,6.71,384.55,0
-24.17,-127.7,-45.89,4.64,1.73,-4.54,6.41,371.06,0
-19.95,-137.43,-40.83,4.84,1.73,-4.3,4.59,313.67,0
6.57,169.44,18.0,8.0,3.28,-4.98,3.16,304.97,0
5.5,169.55,16.5,7.89,3.28,-4.83,2.6,328.22,0
4.42,168.41,12.72,7.64,2.66,-5.14,3.11,317.95,0
3.86,168.49,11.9,7.64,2.67,-5.12,1.02,310.67,0
-37.57,168.58,-40.44,25.8,2.67,-23.41,0.24,300.96,0
-34.85,168.67,-37.4,26.35,2.68,-23.9,0.39,113.7,0
-34.01,168.75,-36.45,26.71,2.68,-24.24,0.81,102.79,0
-33.07,169.7,-35.5,24.99,2.48,-22.71,4.27,275.27,0
-17.61,-161.7,-20.48,9.72,0.75,-9.12,6.23,268.39,0
-21.22,-161.76,-24.32,9.75,0.76,-9.18,6.36,260.95,0
-21.16,-161.83,-24.28,9.73,0.76,-9.15,6.63,252.13,0
-21.1,-161.89,-24.24,9.7,0.77,-9.12,6.85,246.2,0
-21.04,-160.64,-41.82,9.67,3.9,-7.16,7.02,239.25,0
-10.06,-160.44,-23.34,11.62,3.9,-8.45,7.42,489.97,0
-6.56,-160.24,-17.49,12.53,3.91,-9.19,6.06,368.77,0
-6.4,-160.03,-17.38,12.51,3.91,-9.17,6.41,343.85,0
-6.24,-159.83,-17.27,12.5,3.91,-9.16,13.33,487.73,0
-9.32,-159.62,-22.01,12.08,3.92,-8.89,15.13,494.48,0
-9.24,-159.42,-22.02,12.06,3.92,-8.87,15.58,473.01,0
-13.58,-145.62,-27.66,13.98,3.83,-11.76,14.57,347.08,0
-19.51,-116.37,-33.41,18.49,4.43,-18.49,53.18,1345.89,0
-19.45,-116.2,-33.39,18.49,4.44,-18.49,52.3,1357.39,0
-19.38,-132.9,-29.8,18.48,3.41,-17.39,52.13,1393.07,0
-20.71,-132.62,-31.0,18.87,3.42,-17.88,65.44,1402.47,0
-20.84,-132.34,-31.16,18.9,3.43,-17.93,63.63,1393.02,0
-11.84,-132.05,-24.2,15.38,3.44,-13.97,68.59,1307.62,0
11.78,-131.77,-1.72,11.4,3.45,-8.88,67.3,1311.23,0
12.38,-131.49,-1.05,11.41,3.45,-8.87,67.46,1317.31,0
8.67,-131.2,-5.08,11.87,3.46,-9.51,67.67,1328.9,0
7.41,-130.91,-6.42,12.07,3.47,-9.78,67.07,1367.3,0
7.82,-130.63,-6.04,12.06,3.48,-9.76,67.35,1394.37,0
8.38,-130.34,-5.38,12.12,3.48,-9.8,66.79,1374.08,0
8.8,-130.05,-4.97,12.12,3.49,-9.79,67.15,1286.43,0
9.2,-129.76,-4.59,12.11,3.5,-9.77,67.4,1177.9,0
9.6,-129.47,-4.22,12.1,3.51,-9.75,66.89,1085.55,0
38.22,-109.59,-9.5,6.41,4.81,-3.5,67.15,996.86,0
12.34,-109.33,-8.17,13.51,4.81,-11.7,68.21,911.44,0
11.83,-109.07,-8.83,13.47,4.82,-11.74,68.67,931.37,0
11.32,-108.8,-9.49,13.44,4.83,-11.77,68.07,996.51,0
10.81,-108.54,-10.14,13.41,4.84,-11.8,68.75,880.09,0
10.29,-108.27,-10.79,13.37,4.84,-11.83,69.48,991.31,0
9.78,-108.0,-11.44,13.33,4.85,-11.86,68.97,1007.58,0
18.43,-107.73,-4.82,12.0,4.85,-9.91,68.99,1065.28,0
18.09,-107.45,-5.23,12.01,4.86,-9.98,63.27,1120.94,0
17.74,-107.18,-5.63,12.03,4.87,-10.04,64.19,999.5,0
17.4,-106.9,-6.04,12.04,4.87,-10.1,65.13,149.89,0
17.06,-106.61,-6.43,12.05,4.88,-10.17,64.94,150.11,0
26.31,-106.33,-12.34,7.8,4.88,-5.73,66.71,149.17,0
