Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
50.1,-2.48,-4.01,7.47,3.87,0.11,172.45,2.58,0
50.23,-2.48,-4.01,7.47,3.87,0.12,172.05,2.6,0
47.92,-2.48,-4.01,7.47,3.87,0.11,171.75,2.56,0
47.2,-2.47,-4.01,7.47,3.87,0.11,170.37,2.56,0
33.66,-2.47,-4.01,7.47,3.87,0.09,171.16,2.38,0
36.08,-2.47,-4.01,7.47,3.87,0.1,170.25,2.4,0
36.24,-2.46,-4.02,7.47,3.87,0.1,169.96,2.4,0
36.49,-2.28,-3.39,5.74,1.25,0.08,170.12,2.4,0
36.36,-2.28,-3.39,5.74,1.25,0.08,169.82,2.4,0
36.24,-2.28,-3.39,5.74,1.25,0.08,169.53,2.41,0
36.19,-2.28,-3.4,5.74,1.25,0.08,169.66,2.41,0
36.08,-2.26,-3.4,5.71,1.25,0.07,169.36,2.42,0
35.98,-2.27,-3.4,5.74,1.25,0.07,168.49,2.43,0
38.28,-2.27,-3.4,5.74,1.25,0.08,167.27,2.52,0
38.18,-2.27,-3.4,5.74,1.25,0.08,165.63,2.53,0
38.15,-2.27,-3.4,5.74,1.25,0.08,162.75,2.54,0
38.06,-2.26,-3.4,5.74,1.25,0.08,161.53,2.54,0
37.98,-0.57,-2.22,5.41,0.69,0.07,160.43,2.54,0
38.19,-0.58,-2.22,5.4,0.69,0.07,157.46,2.54,0
38.35,-0.57,-2.22,5.41,0.69,0.07,156.18,2.53,0
38.46,-0.57,-2.22,5.41,0.69,0.07,155.21,2.51,0
38.57,-0.57,-2.22,5.41,0.69,0.07,154.06,2.49,0
38.69,-0.57,-2.22,5.41,0.69,0.07,153.1,2.46,0
38.81,-0.57,-2.22,5.41,0.69,0.07,152.27,2.42,0
38.8,-0.57,-2.22,5.41,0.69,0.07,149.45,2.38,0
38.9,-0.57,-2.22,5.41,0.69,0.07,149.2,2.34,0
39.0,-0.57,-2.22,5.41,0.69,0.07,148.72,2.28,0
2.11,-2.05,0.78,4.31,0.76,0.01,4724.53,0.7,0
1.89,-2.06,0.78,4.32,0.74,0.01,5370.23,0.72,0
