Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
57.31,-2.79,-2.49,13.1,4.06,0.22,127.87,2.38,1
55.12,-4.03,-1.26,12.03,2.38,0.19,135.39,2.17,1
51.31,-4.05,-1.2,9.34,0.91,0.15,138.01,2.25,1
43.88,-2.32,-4.01,7.52,3.87,0.11,173.33,2.46,1
46.17,-3.05,-4.83,3.17,0.48,0.05,166.73,2.48,1
48.46,-3.13,-4.78,3.15,0.48,0.05,160.08,2.49,1
92.72,0.46,-4.53,1.42,0.14,0.03,160.37,2.7,1
104.65,-3.63,-0.75,6.83,-3.82,0.14,162.44,2.74,1
101.48,-3.35,-0.45,13.94,-4.91,0.28,162.99,2.73,1
93.38,3.44,-3.02,0.84,1.01,0.01,159.58,2.7,1
104.68,-3.76,0.39,5.35,-5.67,0.09,161.07,2.74,1
101.32,-3.45,0.61,11.98,-8.88,0.19,160.75,2.73,1
72.42,-3.38,1.2,5.28,-9.95,0.1,1394.37,2.63,1
3.04,-3.32,1.27,2.6,-15.12,0.01,1307.62,1.73,1
0.95,-4.62,0.52,1.03,-18.73,0.0,1345.89,1.03,1
72.42,-3.56,0.38,7.49,-8.44,0.14,1394.37,2.63,1
3.04,-3.52,0.46,6.06,-14.09,0.02,1307.62,1.73,1
0.95,-4.6,-0.57,5.36,-17.97,0.01,1345.89,1.03,1
72.42,-3.56,0.38,7.49,-8.44,0.14,1394.37,2.63,1
3.04,-3.52,0.46,6.06,-14.09,0.02,1307.62,1.73,1
0.95,-4.6,-0.57,5.36,-17.97,0.01,1345.89,1.03,1
2.64,-3.39,1.2,5.14,-9.95,0.02,1394.37,1.42,1
3.99,-3.34,1.27,2.58,-15.12,0.01,1307.62,1.47,1
3.02,-4.66,0.52,1.09,-18.73,0.0,199.92,1.35,1
44.86,-2.34,-4.01,7.52,3.87,0.11,168.52,2.47,1
46.81,-3.07,-4.82,3.15,0.48,0.05,165.4,2.48,1
49.06,-3.14,-4.78,3.15,0.48,0.05,160.91,2.5,1
56.15,-4.47,-2.61,13.61,-1.64,0.22,129.42,2.35,1
54.18,-4.19,0.5,13.07,-2.38,0.21,134.23,2.12,1
51.2,-1.47,0.15,8.9,-2.96,0.14,132.49,2.28,1
35.98,-2.27,-3.4,5.74,1.25,0.07,168.49,2.43,1
36.49,-2.27,-3.39,5.71,1.25,0.08,170.12,2.4,1
47.92,-2.48,-4.01,7.47,3.87,0.11,171.75,2.56,1
30.92,-1.8,-3.84,6.02,2.58,0.08,167.51,2.35,1
60.68,-1.87,-4.49,6.18,5.52,0.11,167.21,2.53,1
43.58,-1.87,-4.49,6.19,5.52,0.09,172.12,2.46,1
45.38,-2.27,-5.44,1.96,1.13,0.03,757.05,2.47,1
88.47,-2.62,-3.11,16.54,3.74,0.32,82.92,2.68,1
94.43,-2.82,-5.25,13.98,9.53,0.28,96.88,2.7,1
90.1,-4.02,-4.6,13.67,8.47,0.27,99.24,2.66,1
84.57,-3.99,-4.52,13.7,8.46,0.26,107.03,2.48,1
91.25,-2.62,-3.11,16.52,3.74,0.33,82.92,2.69,1
94.43,-2.82,-5.25,13.98,9.53,0.28,96.88,2.7,1
90.1,-4.02,-4.6,13.67,8.47,0.27,99.24,2.66,1
84.57,-3.99,-4.52,13.7,8.46,0.26,107.03,2.48,1
85.89,-3.34,-2.34,17.03,-0.59,0.33,87.95,2.67,1
95.37,-4.05,-4.37,16.0,5.66,0.32,96.88,2.71,1
88.69,-5.01,-3.44,15.38,4.73,0.3,99.24,2.63,1
83.08,-4.96,-3.36,15.4,4.7,0.3,107.03,2.48,1
45.64,-9.12,-0.51,5.76,6.57,0.08,162.34,2.47,1
53.74,-1.26,-1.47,10.33,-0.43,0.16,6407.19,2.52,1
66.85,-1.26,-1.47,10.33,-0.45,0.18,7145.63,2.59,1
83.58,-1.42,5.22,9.16,-6.97,0.18,8462.35,2.7,1
94.32,-1.59,1.1,9.1,-3.69,0.19,162.38,2.84,1
52.33,-4.21,0.09,13.13,-0.36,0.22,122.92,2.15,1
51.01,-1.53,-0.01,9.37,-1.95,0.15,138.36,2.32,1
35.98,-2.85,1.41,12.66,-1.14,0.17,242.79,2.37,1
24.17,-2.36,-0.68,9.43,-2.81,0.11,262.91,1.91,1
11.72,-2.24,-0.94,9.07,-2.6,0.07,272.57,1.79,1
78.37,-2.56,-4.18,11.28,-1.05,0.21,116.45,2.46,0
55.33,-1.37,-3.67,3.51,-0.97,0.0,107.77,2.03,0
82.94,-3.54,3.71,11.81,-3.54,0.24,145.61,2.7,0
91.16,-3.5,-5.32,11.48,10.95,0.23,83.32,2.69,0
1.35,-2.84,-0.27,-1.5,-3.46,0.0,576.36,1.0,0
66.18,-3.09,-5.98,8.52,0.6,0.15,206.88,2.7,0
82.2,-1.45,3.46,6.09,-8.6,0.1,114.54,2.66,0
81.3,-2.36,-4.35,10.27,2.51,0.19,97.01,2.44,0
90.33,-5.39,-3.37,14.98,5.31,0.29,76.82,2.65,0
82.06,-2.31,-4.38,10.26,2.5,0.19,95.27,2.48,0
59.32,0.52,-5.26,7.35,5.65,0.12,220.67,2.57,0
86.62,-5.59,-1.9,12.78,-4.32,0.25,106.82,2.49,0
85.28,-1.82,-4.97,8.9,4.4,0.18,112.51,2.67,0
83.6,-3.53,3.71,11.82,-3.54,0.24,145.61,2.72,0
84.41,-1.85,-4.97,8.89,4.53,0.18,106.03,2.67,0
93.45,-1.61,-0.8,5.49,-2.28,0.11,67.86,2.7,0
92.66,1.63,-4.08,2.3,1.03,0.05,62.84,2.7,0
50.69,1.22,-4.13,5.0,6.71,0.08,203.13,2.6,0
82.46,-0.85,-1.74,9.19,1.99,0.18,156.47,2.79,0
90.9,-5.39,-3.45,14.88,5.36,0.29,73.95,2.69,0
75.49,-1.99,-4.58,14.21,1.99,0.26,106.78,2.32,0
85.98,-2.45,-2.1,10.94,1.19,0.22,141.4,2.67,0
82.48,-1.85,-4.64,13.57,3.69,0.26,110.85,2.28,0
95.43,-1.86,-1.86,10.67,-1.69,0.21,61.49,2.71,0
92.63,1.66,-4.08,2.27,1.03,0.05,62.84,2.7,0
91.59,-3.44,-3.02,16.89,1.09,0.33,64.71,2.69,0
77.11,1.02,-3.53,1.3,2.54,0.02,97.8,0.77,0
49.1,0.57,-5.28,7.06,5.26,0.11,142.72,2.5,0
94.82,-1.71,-1.11,6.03,-1.36,0.12,173.83,2.7,0
73.35,-4.65,-1.7,6.68,-6.18,0.12,156.76,2.2,0
85.03,-1.44,-4.97,8.78,4.47,0.18,121.01,2.67,0
87.11,-2.44,-2.12,10.94,1.13,0.22,123.84,2.68,0
91.92,-0.89,-2.37,11.58,7.19,0.21,57.25,2.69,0
89.16,-2.23,-2.19,11.02,1.48,0.23,139.48,2.69,0
82.12,-4.53,-0.74,1.04,2.08,0.02,92.95,2.66,0
49.92,0.45,-5.25,7.62,5.74,0.12,293.88,2.5,0
87.45,-2.81,3.84,10.45,-4.19,0.2,354.89,2.75,0
39.97,0.72,-4.1,4.96,6.87,0.07,348.4,2.43,0
84.34,-4.57,-3.23,12.27,-1.07,0.24,127.53,2.48,0
41.78,-1.54,-1.7,8.09,0.66,0.11,224.75,2.39,0
86.47,-0.97,-1.7,9.95,1.52,0.19,960.5,2.81,0
87.75,-1.07,-4.94,8.69,4.14,0.17,252.31,2.68,0
65.24,-2.99,-2.22,13.53,0.83,0.24,117.47,2.56,0
61.96,2.55,-6.42,5.94,6.46,0.1,293.51,2.61,0
31.5,0.24,-4.13,5.51,6.46,0.07,163.35,2.35,0
79.89,-2.72,-4.19,13.46,1.13,0.25,114.29,2.17,0
97.8,0.72,-2.9,0.21,-1.49,0.0,169.04,2.82,0
82.85,-2.36,-4.4,10.24,0.53,0.2,117.04,2.39,0
46.16,-0.28,-5.26,4.03,2.35,0.06,160.22,2.48,0
68.22,1.68,-0.99,0.21,-1.49,0.0,170.52,2.6,0
95.64,-2.87,-3.67,17.32,4.6,0.35,96.23,2.71,0
80.22,-2.58,-4.28,9.3,2.19,0.18,113.77,2.47,0
73.68,-4.67,-1.35,9.84,-9.49,0.18,880.09,2.48,0
33.38,-2.35,-1.48,10.85,1.83,0.14,284.54,1.98,0
32.59,0.62,-4.1,4.98,6.87,0.07,220.81,2.37,0
94.57,1.08,-2.98,2.73,-0.17,0.05,167.61,2.7,0
33.43,-3.04,-2.53,5.42,-0.59,0.07,159.67,2.4,0
75.2,-2.92,-1.23,6.81,-1.77,0.13,170.64,2.63,0
13.31,-1.98,1.41,3.52,-2.56,0.03,1042.36,1.54,0
79.55,-3.99,3.97,0.64,-0.59,0.01,166.99,2.65,0
97.79,0.74,-2.9,0.21,-1.49,0.0,172.34,2.77,0
53.4,-9.0,1.14,6.94,5.48,0.12,241.17,2.52,0
95.4,-2.72,-0.01,0.64,-0.59,0.01,159.12,2.84,0
100.7,-2.72,-0.04,5.56,-3.99,0.11,174.82,2.72,0
1.71,-1.37,1.91,3.87,-2.01,0.01,1566.09,0.82,0
10.47,-2.27,0.73,4.2,-1.36,0.03,985.76,1.48,0
52.27,-9.02,0.42,6.47,6.06,0.1,233.02,2.52,0
14.7,-1.33,-1.14,4.24,-2.4,0.04,408.69,1.81,0
20.47,-1.35,-1.14,4.52,-2.31,0.04,438.16,1.88,0
2.45,-1.37,-0.97,3.69,-8.75,0.01,269.8,1.35,0
31.8,-1.64,-4.49,6.28,5.52,0.08,169.09,2.36,0
66.66,-2.61,-4.14,8.29,-1.0,0.15,148.13,2.11,0
95.31,-1.51,0.07,9.9,-3.75,0.21,164.42,2.71,0
54.26,-9.1,-0.51,5.77,6.63,0.09,241.17,2.53,0
4.24,-1.36,-0.97,3.22,-3.09,0.01,356.6,1.52,0
94.66,-0.83,-3.63,8.26,0.82,0.17,162.92,2.8,0
48.88,-0.67,-1.83,9.83,3.23,0.15,162.77,2.49,0
62.35,-2.78,-3.98,11.86,-0.05,0.2,999.5,2.54,0
66.66,-2.62,-4.14,8.36,-1.0,0.15,148.13,2.11,0
97.74,0.77,-2.99,7.16,3.27,0.14,167.56,2.79,0
59.75,-4.53,-1.63,4.95,-5.69,0.07,148.49,2.3,0
77.0,-4.29,-2.63,15.18,2.08,0.25,144.82,2.46,0
93.99,-0.39,-3.07,7.11,-1.11,0.14,163.3,2.73,0
61.17,-3.25,-0.27,7.56,-16.99,0.11,467.52,2.43,0
33.32,-1.78,-3.85,6.02,2.58,0.08,166.43,2.39,0
