Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
84.41,1.39,-1.85,8.89,4.53,19.44,106.03,2.67,0
93.45,10.31,-1.61,5.49,-2.28,0.71,67.86,2.7,0
92.66,2.37,1.63,2.3,1.03,-1.3,62.84,2.7,0
50.69,0.1,1.22,5.0,6.71,28.39,203.13,2.6,0
82.46,0.48,-0.85,9.19,1.99,41.55,156.47,2.79,0
90.9,18.18,-5.39,14.88,5.36,35.73,73.95,2.69,0
75.49,18.37,-1.99,14.21,1.99,49.77,106.78,2.32,0
85.98,4.54,-2.45,10.94,1.19,16.21,141.4,2.67,0
82.48,18.37,-1.85,13.57,3.69,51.82,110.85,2.28,0
95.43,16.3,-1.86,10.67,-1.69,46.91,61.49,2.71,0
92.63,3.36,1.66,2.27,1.03,-1.3,62.84,2.7,0
91.59,16.91,-3.44,16.89,1.09,55.29,64.71,2.69,0
77.11,0.1,1.02,1.3,2.54,0.41,97.8,0.77,0
49.1,2.41,0.57,7.06,5.26,6.7,142.72,2.5,0
94.82,14.31,-1.71,6.03,-1.36,16.84,173.83,2.7,0
73.35,39.87,-4.65,6.68,-6.18,31.71,156.76,2.2,0
85.03,6.11,-1.44,8.78,4.47,16.75,121.01,2.67,0
87.11,4.54,-2.44,10.94,1.13,23.72,123.84,2.68,0
91.92,18.4,-0.89,11.58,7.19,48.98,57.25,2.69,0
89.16,9.65,-2.23,11.02,1.48,20.77,139.48,2.69,0
82.12,4.53,-4.53,1.04,2.08,53.09,92.95,2.66,0
49.92,5.52,0.45,7.62,5.74,27.08,293.88,2.5,0
87.45,13.09,-2.81,10.45,-4.19,13.66,354.89,2.75,0
39.97,8.09,0.72,4.96,6.87,14.25,348.4,2.43,0
84.34,28.31,-4.57,12.27,-1.07,55.54,127.53,2.48,0
41.78,24.58,-1.54,8.09,0.66,18.87,224.75,2.39,0
86.47,11.99,-0.97,9.95,1.52,10.71,960.5,2.81,0
87.75,13.38,-1.07,8.69,4.14,20.0,252.31,2.68,0
65.24,26.81,-2.99,13.53,0.83,9.44,117.47,2.56,0
61.96,11.61,2.55,5.94,6.46,3.07,293.51,2.61,0
31.5,10.24,0.24,5.51,6.46,-0.0,163.35,2.35,0
79.89,28.31,-2.72,13.46,1.13,51.82,114.29,2.17,0
97.8,0.1,0.72,0.21,-1.49,2.3,169.04,2.82,0
82.85,26.43,-2.36,10.24,0.53,42.79,117.04,2.39,0
46.16,11.42,-0.28,4.03,2.35,11.68,160.22,2.48,0
68.22,0.1,1.68,0.21,-1.49,4.17,170.52,2.6,0
95.64,26.84,-2.87,17.32,4.6,90.54,96.23,2.71,0
80.22,28.12,-2.58,9.3,2.19,47.97,113.77,2.47,0
73.68,41.39,-4.67,9.84,-9.49,32.36,880.09,2.48,0
33.38,29.26,-2.35,10.85,1.83,11.7,284.54,1.98,0
32.59,9.47,0.62,4.98,6.87,-0.0,220.81,2.37,0
94.57,14.74,1.08,2.73,-0.17,6.92,167.61,2.7,0
33.43,22.19,-3.04,5.42,-0.59,0.0,159.67,2.4,0
75.2,37.71,-2.92,6.81,-1.77,9.43,170.64,2.63,0
13.31,12.41,-1.98,3.52,-2.56,102.03,1042.36,1.54,0
79.55,0.09,-3.99,0.64,-0.59,2.4,166.99,2.65,0
97.79,0.09,0.74,0.21,-1.49,2.78,172.34,2.77,0
53.4,21.5,-9.0,6.94,5.48,1.25,241.17,2.52,0
95.4,0.09,-2.72,0.64,-0.59,9.16,159.12,2.84,0
100.7,27.69,-2.72,5.56,-3.99,8.75,174.82,2.72,0
1.71,2.18,-1.37,3.87,-2.01,45.91,1566.09,0.82,0
10.47,14.59,-2.27,4.2,-1.36,98.89,985.76,1.48,0
52.27,20.43,-9.02,6.47,6.06,3.18,233.02,2.52,0
14.7,43.55,-1.33,4.24,-2.4,8.18,408.69,1.81,0
20.47,43.04,-1.35,4.52,-2.31,11.47,438.16,1.88,0
2.45,46.45,-1.37,3.69,-8.75,19.45,269.8,1.35,0
31.8,5.14,-1.64,6.28,5.52,0.0,169.09,2.36,0
66.66,46.24,-2.61,8.29,-1.0,34.09,148.13,2.11,0
95.31,9.06,-1.51,9.9,-3.75,4.99,164.42,2.71,0
54.26,18.53,-9.1,5.77,6.63,1.25,241.17,2.53,0
4.24,46.72,-1.36,3.22,-3.09,18.35,356.6,1.52,0
94.66,10.08,-0.83,8.26,0.82,4.21,162.92,2.8,0
48.88,3.04,-0.67,9.83,3.23,1.64,162.77,2.49,0
62.35,45.68,-2.78,11.86,-0.05,29.89,999.5,2.54,0
66.66,45.68,-2.62,8.36,-1.0,34.09,148.13,2.11,0
97.74,3.91,0.77,7.16,3.27,3.37,167.56,2.79,0
59.75,52.68,-4.53,4.95,-5.69,35.55,148.49,2.3,0
77.0,51.14,-4.29,15.18,2.08,30.94,144.82,2.46,0
93.99,11.62,-0.39,7.11,-1.11,4.62,163.3,2.73,0
61.17,50.8,-3.25,7.56,-16.99,24.55,467.52,2.43,0
33.32,8.33,-1.78,6.02,2.58,0.0,166.43,2.39,0
52.99,14.92,-2.02,6.65,2.85,0.0,164.04,2.43,0
50.72,14.72,-2.0,6.63,2.85,0.0,164.06,2.43,0
49.82,58.12,-3.05,11.02,-7.39,31.0,438.27,2.32,0
89.4,17.56,-1.75,9.55,-5.49,7.17,6095.17,2.8,0
89.45,17.42,-1.79,10.88,-5.44,7.14,7467.7,2.83,0
95.01,17.82,-0.97,9.74,2.6,9.04,157.84,2.71,0
29.74,0.1,-1.08,3.71,0.03,98.89,984.76,1.99,0
93.62,18.41,2.14,5.39,5.08,8.76,5679.55,2.78,0
75.57,18.49,-0.95,5.86,4.71,0.0,162.69,0.95,0
34.16,2.01,-1.02,3.91,0.01,102.03,1009.9,2.07,0
94.38,23.12,1.17,1.0,-2.21,10.16,159.56,2.7,0
47.81,8.69,0.07,7.44,12.28,32.61,640.44,2.07,0
37.4,10.98,-1.8,23.14,3.42,34.27,985.24,2.02,0
182.94,9.77,-7.17,11.21,-1.52,19.58,147.23,1.09,0
87.9,10.34,0.14,1.51,0.06,10.58,160.13,2.68,0
36.34,2.67,1.11,7.18,6.63,32.58,983.62,2.26,0
89.09,16.71,-0.48,7.19,-8.6,10.31,341.42,2.81,0
32.3,31.54,-2.82,9.96,-2.52,4.47,230.52,2.13,0
50.32,0.5,2.51,4.39,5.13,35.55,767.75,2.48,0
85.69,18.18,-3.32,10.48,-2.48,106.8,109.73,2.45,0
94.82,14.12,-2.0,4.94,-3.69,16.84,173.83,2.7,0
80.78,2.02,-0.84,9.24,2.0,10.08,168.28,2.78,0
83.74,16.49,-1.28,12.62,4.41,36.01,68.91,2.67,0
87.99,10.86,-0.84,8.44,4.62,19.49,247.58,2.68,0
86.4,11.05,-3.32,10.88,0.73,18.46,263.39,2.68,0
88.96,12.03,-0.72,8.38,4.56,19.97,221.2,2.68,0
79.54,28.5,-2.61,9.25,2.2,38.62,114.23,2.4,0
67.68,39.74,-2.1,14.95,3.66,16.48,164.33,2.42,0
8.69,11.73,-2.1,4.42,0.42,50.32,583.4,1.35,0
29.07,40.63,-2.45,5.7,-5.21,16.45,487.61,1.95,0
66.19,46.42,-3.61,9.41,-2.64,34.9,147.18,2.11,0
95.95,18.38,1.45,1.54,0.24,9.21,159.03,2.71,0
31.75,6.23,1.2,8.26,13.97,14.24,484.75,2.17,0
78.9,30.02,-3.66,9.32,-0.15,26.28,115.05,2.2,0
79.12,1.15,0.08,8.16,7.26,32.03,157.77,2.21,0
41.73,7.76,-2.36,14.16,-1.01,15.18,132.71,2.36,0
84.61,18.37,-1.76,9.43,3.94,42.65,113.79,2.49,0
44.96,0.67,0.96,1.39,2.54,-0.12,140.27,2.59,0
82.56,20.93,-0.84,12.38,6.44,51.82,110.85,2.29,0
