Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
13.39,15.88,-2.03,5.2,-3.02,39.78,1193.55,1.63,0
13.31,15.5,-2.04,5.27,-3.07,35.43,1175.02,1.65,0
14.06,15.82,-2.04,5.17,-3.07,41.67,1159.05,1.7,0
13.95,16.2,-2.05,5.08,-3.06,37.89,1095.43,1.71,0
15.64,16.71,-2.05,4.98,-3.05,34.18,1045.06,1.78,0
15.74,17.21,-2.07,5.74,-2.71,28.5,964.95,1.8,0
18.65,17.69,-2.07,6.83,-2.32,26.04,924.2,1.9,0
20.37,16.73,-2.1,8.85,-2.42,13.18,814.73,1.97,0
17.75,47.55,-1.78,7.84,3.8,9.59,578.34,1.92,0
17.75,47.33,-1.79,7.83,3.7,11.22,549.88,1.93,0
17.69,47.11,-1.61,6.31,1.28,12.8,525.3,1.93,0
18.13,46.89,-1.59,6.1,0.96,9.98,505.38,1.93,0
16.96,46.65,-1.6,6.05,0.91,10.3,485.94,1.91,0
16.12,46.42,-1.6,5.99,0.85,11.38,458.13,1.89,0
15.24,46.18,-1.6,5.94,0.79,10.37,444.58,1.88,0
15.29,45.96,-1.6,5.89,0.74,10.64,427.9,1.87,0
14.33,45.82,-1.61,5.84,0.68,9.27,389.96,1.85,0
13.9,45.69,-0.99,4.5,-1.24,8.81,376.46,1.83,0
12.29,45.55,-1.04,4.25,-1.54,6.28,438.16,1.8,0
10.52,45.42,-1.04,4.18,-1.57,6.47,419.59,1.77,0
9.97,45.29,-1.04,4.18,-1.64,8.18,408.69,1.75,0
8.36,45.16,-1.05,4.38,-1.82,7.53,393.55,1.71,0
6.71,45.03,-1.05,4.31,-1.86,7.17,384.55,1.65,0
6.41,44.91,-1.06,4.24,-1.9,4.76,371.06,1.63,0
4.59,44.78,-1.27,4.55,-1.65,4.24,313.67,1.34,0
3.16,44.65,-3.22,7.95,0.92,3.63,304.97,1.44,0
2.6,44.53,-3.23,7.85,0.76,3.3,328.22,1.38,0
3.11,44.48,-2.61,7.62,0.59,3.3,317.95,1.42,0
1.02,44.48,-2.62,7.62,0.51,3.05,310.67,1.12,0
0.24,44.5,-2.62,20.45,-15.73,2.79,300.96,0.59,0
0.39,44.48,-2.63,21.63,-15.06,2.07,113.7,0.84,0
0.81,44.48,-2.63,22.14,-14.94,1.61,102.79,1.03,0
4.27,44.48,-2.44,20.95,-13.64,1.09,275.27,1.46,0
6.23,44.48,-0.72,9.26,-2.94,0.36,268.39,1.56,0
6.36,44.48,-0.72,9.09,-3.53,0.04,260.95,1.56,0
6.63,44.48,-0.72,9.07,-3.51,0.35,252.13,1.56,0
6.85,44.48,-0.73,9.05,-3.49,0.12,246.2,1.56,0
7.02,44.48,-3.68,9.02,-3.47,-0.0,239.25,1.56,0
7.42,44.48,-3.68,11.44,-2.03,0.47,489.97,1.57,0
6.06,44.48,-3.68,12.45,-1.43,-0.0,368.77,1.52,0
6.41,44.48,-3.68,12.44,-1.39,0.01,343.85,1.53,0
13.33,44.48,-3.67,12.42,-1.36,-0.0,487.73,1.85,0
15.13,44.48,-3.67,11.92,-1.96,0.0,494.48,1.91,0
15.58,44.48,-3.67,11.9,-1.94,0.08,473.01,1.96,0
14.57,44.48,-3.16,13.59,-3.28,0.0,347.08,1.94,0
53.18,44.48,-1.97,17.43,-6.18,-0.0,1345.89,2.2,0
52.3,44.48,-1.96,17.43,-6.15,0.03,1357.39,2.2,0
52.13,44.48,-2.32,17.43,-6.13,-0.02,1393.07,2.23,0
65.44,44.48,-2.32,17.65,-6.67,0.05,1402.47,2.47,0
63.63,44.48,-2.31,17.67,-6.73,24.55,1393.02,2.46,0
68.59,44.48,-2.3,15.05,-3.16,29.99,1307.62,2.53,0
67.3,44.48,-2.3,11.16,2.33,35.71,1311.23,2.52,0
67.46,44.48,-2.29,11.15,2.45,37.87,1317.31,2.54,0
67.67,44.48,-2.28,11.73,1.79,35.41,1328.9,2.55,0
67.07,44.48,-2.27,11.97,1.56,27.1,1367.3,2.55,0
67.35,44.48,-2.26,11.95,1.64,20.34,1394.37,2.56,0
66.79,44.48,-2.26,11.99,1.77,17.85,1374.08,2.56,0
67.15,44.48,-2.25,11.98,1.85,20.99,1286.43,2.57,0
67.4,44.48,-2.24,11.95,1.94,22.58,1177.9,2.58,0
66.89,44.48,-2.23,11.93,2.02,25.44,1085.55,2.58,0
67.15,44.48,-1.61,5.04,3.96,33.18,996.86,2.58,0
68.21,56.71,-1.59,13.2,2.89,37.14,911.44,2.58,0
68.67,56.88,-1.58,13.19,2.76,37.21,931.37,2.58,0
68.07,44.48,-1.56,13.18,2.64,33.44,996.51,2.57,0
68.75,44.48,-1.54,13.17,2.51,32.36,880.09,2.57,0
69.48,44.48,-1.52,13.16,2.39,32.88,991.31,2.55,0
68.97,44.48,-1.5,13.14,2.26,28.12,1007.58,2.54,0
68.99,44.48,-1.48,11.38,3.79,22.41,1065.28,2.51,0
63.27,44.48,-1.46,11.42,3.73,24.69,1120.94,2.55,0
64.19,44.48,-1.44,11.45,3.66,29.89,999.5,2.54,0
65.13,44.48,-1.42,11.49,3.6,32.48,149.89,2.52,0
64.94,44.48,-1.39,11.52,3.54,32.58,150.11,2.5,0
66.71,44.48,-1.37,6.99,3.46,32.87,149.17,2.4,0
67.32,44.48,-1.35,7.03,3.47,32.09,149.13,2.3,0
66.72,44.48,-1.33,7.06,3.47,32.98,149.14,2.27,0
67.36,44.48,-1.31,7.09,3.48,32.98,147.79,2.18,0
68.83,44.48,-1.28,7.13,3.49,32.75,147.78,2.12,0
68.23,44.48,-1.26,8.41,1.69,34.01,148.23,2.11,0
68.44,44.48,-1.24,8.41,1.68,34.09,148.13,2.11,0
67.61,44.48,-1.21,8.42,1.67,34.37,147.69,2.1,0
